timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532686188001,22,GET Request,200,,Smoke Test 1-1,text,true,,3133,171,1,1,21,0,0
1532686188025,26,Post Request,404,,Smoke Test 1-1,text,false,,266,194,1,1,26,0,0
1532686188052,5,PUT Request,404,,Smoke Test 1-1,text,false,,266,193,1,1,4,0,0
1532686188057,6,Delete Request,404,,Smoke Test 1-1,text,false,,266,196,1,1,6,0,0
